Package,Dependency,Version,License,Description
ECIESEncryption,com.madgag.spongycastle:core,1.58.0.0,Bouncy Castle Licence,"Spongy Castle is a package-rename (org.bouncycastle.* to org.spongycastle.*) of Bouncy Castle intended for the Android platform. Android unfortunately ships with a stripped-down version of Bouncy Castle, which prevents easy upgrades - Spongy Castle overcomes this and provides a full, up-to-date version of the Bouncy Castle cryptographic libs."
ECIESEncryption,com.madgag.spongycastle:prov,1.58.0.0,Bouncy Castle Licence,"Spongy Castle is a package-rename (org.bouncycastle.* to org.spongycastle.*) of Bouncy Castle intended for the Android platform. Android unfortunately ships with a stripped-down version of Bouncy Castle, which prevents easy upgrades - Spongy Castle overcomes this and provides a full, up-to-date version of the Bouncy Castle cryptographic libs."
admin-portal,@apollo/client,3.8.0,MIT,A fully-featured caching GraphQL client.
admin-portal,@bb-tech/ra-components,2.0.6,MIT,Additional opensource components for react-admin 4.x
admin-portal,@emotion/react,11.10.0,MIT,> Simple styling in React.
admin-portal,@emotion/styled,11.10.0,MIT,styled API for emotion
admin-portal,@fortawesome/fontawesome-svg-core,^6.1.1,MIT,"The iconic font, CSS, and SVG framework"
admin-portal,@fortawesome/free-brands-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
admin-portal,@fortawesome/free-solid-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
admin-portal,@fortawesome/react-fontawesome,^0.1.18,MIT,Official React component for Font Awesome
admin-portal,@mui/material,5.13.3,MIT,Material UI is an open-source React component library that implements Google's Material Design. It's comprehensive and can be used in production out of the box.
admin-portal,@mui/styles,^5.14.19,MIT,MUI Styles - The legacy JSS-based styling solution of Material UI.
admin-portal,@mui/utils,^5.14.19,MIT,Utility functions for React components.
admin-portal,@mui/x-data-grid,6.18.2,MIT,The Community plan edition of the MUI X Data Grid components.
admin-portal,@react-page/react-admin,5.4.4,MIT,see the ReactAdmin example in the docs
admin-portal,@reduxjs/toolkit,1.9.5,MIT,"The official, opinionated, batteries-included toolset for efficient Redux development"
admin-portal,@tinymce/tinymce-react,^4.3.2,MIT,Official TinyMCE React Component
admin-portal,tinymce,^7.0.0,GPL-2.0-or-later,Web based JavaScript HTML WYSIWYG editor control.
admin-portal,@types/diff,^5.0.8,MIT,"Stub TypeScript definitions entry for diff, which provides its own types definitions"
admin-portal,antd,^5.21.5,MIT,An enterprise-class UI design language and React components implementation
admin-portal,apexcharts,3.41.1,SEE LICENSE IN LICENSE,A JavaScript Chart Library
admin-portal,buffer,^6.0.3,MIT,"Node.js Buffer API, for the browser"
admin-portal,diff,^5.1.0,BSD-3-Clause,A JavaScript text diff implementation.
